date,prob,pred,actual,ret_1d_ahead,model
2025-09-01,0.5144438147544861,1,0,-0.003717105263157827,LSTM_Main
2025-09-02,0.514358639717102,1,1,0.020239706804899837,LSTM_Main
2025-09-03,0.5141728520393372,1,0,-0.016084142394822143,LSTM_Main
2025-09-04,0.5140849351882935,1,1,0.06933526296747039,LSTM_Main
2025-09-05,0.514079749584198,1,1,0.000799729322383147,LSTM_Main
2025-09-08,0.514089822769165,1,0,-0.016504287426622022,LSTM_Main
2025-09-09,0.5141077637672424,1,0,-0.012374999999999914,LSTM_Main
2025-09-10,0.5141049027442932,1,1,0.020598658397671166,LSTM_Main
2025-09-11,0.5140759944915771,1,1,0.0075957215935513744,LSTM_Main
2025-09-12,0.5140621662139893,1,1,0.0913846153846154,LSTM_Main
2025-09-15,0.513536810874939,1,0,-0.0036086833944177776,LSTM_Main
2025-09-16,0.5134092569351196,1,1,0.0670024333654009,LSTM_Main
2025-09-17,0.5132348537445068,1,0,-0.027075046406788705,LSTM_Main
2025-09-18,0.5131441950798035,1,1,0.004360980130284409,LSTM_Main
2025-09-19,0.5131284594535828,1,1,0.004233493446226477,LSTM_Main
2025-09-22,0.5131487250328064,1,0,-0.005134441291717473,LSTM_Main
2025-09-23,0.5131558775901794,1,1,0.03199782697270148,LSTM_Main
2025-09-24,0.5131499767303467,1,1,0.034006264311847056,LSTM_Main
2025-09-25,0.5131401419639587,1,0,-0.03169148529973287,LSTM_Main
2025-09-26,0.5131469368934631,1,1,0.044610935856992606,LSTM_Main
2025-09-29,0.520954966545105,1,1,0.011651609331353674,LSTM_Main
2025-09-30,0.5209490656852722,1,1,0.019626865671641847,LSTM_Main
2025-10-09,0.5209907293319702,1,0,-0.06816462953475322,LSTM_Main
2025-10-10,0.520971953868866,1,0,-0.019505170833878704,LSTM_Main
2025-10-13,0.520933210849762,1,0,-0.044058744993324406,LSTM_Main
2025-10-14,0.520898699760437,1,1,0.03156424581005579,LSTM_Main
2025-10-15,0.5209714770317078,1,0,-0.0021662604928243123,LSTM_Main
2025-10-16,0.5215861797332764,1,0,-0.028113975576662176,LSTM_Main
2025-10-17,0.5229336619377136,1,1,0.023342826827497776,LSTM_Main
2025-10-20,0.5244818329811096,1,1,0.025648021828103662,LSTM_Main
2025-10-21,0.5316752195358276,1,0,-0.008087257249268287,LSTM_Main
2025-10-22,0.5320106148719788,1,1,0.009628278710507976,LSTM_Main
2025-10-23,0.5319393873214722,1,1,0.024757603931464978,LSTM_Main
2025-10-24,0.531000554561615,1,1,0.0010628094460429782,LSTM_Main
2025-10-27,0.5296823382377625,1,1,0.0007768398156300371,LSTM_Main
2025-10-28,0.5286855697631836,1,1,0.0349824052991099,LSTM_Main
2025-10-29,0.5273823738098145,1,0,-0.004274999999999918,LSTM_Main
2025-10-30,0.5262641906738281,1,0,-0.023902181827311852,LSTM_Main
2025-10-31,0.5256549119949341,1,0,-0.004912930524474501,LSTM_Main
2025-11-03,0.5254115462303162,1,0,-0.020446673215116618,LSTM_Main
2025-11-04,0.5311520099639893,1,1,0.02572898799313883,LSTM_Main
2025-11-05,0.5312116146087646,1,1,0.01538461538461533,LSTM_Main
2025-11-06,0.5312501192092896,1,1,0.0017482517482516613,LSTM_Main
2025-11-07,0.5312473773956299,1,0,-0.027467941421959186,LSTM_Main
2025-11-10,0.5312783718109131,1,1,0.002834776728823707,LSTM_Main
2025-11-11,0.5312820076942444,1,1,0.0020228215767634783,LSTM_Main
2025-11-12,0.5313155055046082,1,1,0.07562503235157103,LSTM_Main
2025-11-13,0.5312575697898865,1,0,-0.027622714148219485,LSTM_Main
2025-11-14,0.531243085861206,1,0,-0.03300999703058505,LSTM_Main
2025-11-17,0.5312241911888123,1,0,-0.014790930958595516,LSTM_Main
2025-11-18,0.5395552515983582,1,1,0.015844155844155994,LSTM_Main
2025-11-19,0.5395677089691162,1,0,-0.02994119151112251,LSTM_Main
2025-11-20,0.5413826107978821,1,0,-0.024750256991486252,LSTM_Main
